PICkitminus and PK2CMD minus supported devices.
Device file based on last publicly available PICKitPlus
device file 2.63.218.15 from https://github.com/Anobium/PICKitPlus
Some devices added and fixed by jaka.
Device file and software updates available from
http://kair.us/projects/pickit2minus/index.html


Device File Version:   2.63.229
Number of devices = 1203

PIC18F14Q41                  PIC18/PIC18F MSB1st
PIC18F15Q40                  PIC18/PIC18F MSB1st
PIC18F15Q41                  PIC18/PIC18F MSB1st
PIC18F16Q40                  PIC18/PIC18F MSB1st
PIC18F16Q41                  PIC18/PIC18F MSB1st
PIC18F24K40                  PIC18/PIC18F MSB1st
PIC18F24K42                  PIC18/PIC18F MSB1st
PIC18F24Q10                  PIC18/PIC18F MSB1st
PIC18F25K40                  PIC18/PIC18F MSB1st
PIC18F25K42                  PIC18/PIC18F MSB1st
PIC18F25K83                  PIC18/PIC18F MSB1st
PIC18F25Q10                  PIC18/PIC18F MSB1st
PIC18F25Q43                  PIC18/PIC18F MSB1st
PIC18F26K40                  PIC18/PIC18F MSB1st
PIC18F26K42                  PIC18/PIC18F MSB1st
PIC18F26K83                  PIC18/PIC18F MSB1st
PIC18F26Q10                  PIC18/PIC18F MSB1st
PIC18F26Q43                  PIC18/PIC18F MSB1st
PIC18F26Q83                  PIC18/PIC18F MSB1st
PIC18F26Q84                  PIC18/PIC18F MSB1st
PIC18F27K40                  PIC18/PIC18F MSB1st
PIC18F27K42                  PIC18/PIC18F MSB1st
PIC18F27Q10                  PIC18/PIC18F MSB1st
PIC18F27Q43                  PIC18/PIC18F MSB1st
PIC18F27Q83                  PIC18/PIC18F MSB1st
PIC18F27Q84                  PIC18/PIC18F MSB1st
PIC18F45K40                  PIC18/PIC18F MSB1st
PIC18F45K42                  PIC18/PIC18F MSB1st
PIC18F45Q10                  PIC18/PIC18F MSB1st
PIC18F45Q43                  PIC18/PIC18F MSB1st
PIC18F46K40                  PIC18/PIC18F MSB1st
PIC18F46K42                  PIC18/PIC18F MSB1st
PIC18F46Q10                  PIC18/PIC18F MSB1st
PIC18F46Q43                  PIC18/PIC18F MSB1st
PIC18F46Q83                  PIC18/PIC18F MSB1st
PIC18F46Q84                  PIC18/PIC18F MSB1st
PIC18F47K40                  PIC18/PIC18F MSB1st
PIC18F47K42                  PIC18/PIC18F MSB1st
PIC18F47Q10                  PIC18/PIC18F MSB1st
PIC18F47Q43                  PIC18/PIC18F MSB1st
PIC18F47Q83                  PIC18/PIC18F MSB1st
PIC18F47Q84                  PIC18/PIC18F MSB1st
PIC18F55K42                  PIC18/PIC18F MSB1st
PIC18F55Q43                  PIC18/PIC18F MSB1st
PIC18F56K42                  PIC18/PIC18F MSB1st
PIC18F56Q43                  PIC18/PIC18F MSB1st
PIC18F56Q83                  PIC18/PIC18F MSB1st
PIC18F56Q84                  PIC18/PIC18F MSB1st
PIC18F57K42                  PIC18/PIC18F MSB1st
PIC18F57Q43                  PIC18/PIC18F MSB1st
PIC18F57Q83                  PIC18/PIC18F MSB1st
PIC18F57Q84                  PIC18/PIC18F MSB1st
PIC18F65K40                  PIC18/PIC18F MSB1st
PIC18F66K40                  PIC18/PIC18F MSB1st
PIC18F67K40                  PIC18/PIC18F MSB1st
PIC18LF24K40                 PIC18/PIC18F MSB1st
